Dataset,Subset,Smoothness,Integer Percentage,Average Run Length,Gorilla CR,Sprintz CR,ToBinary CR,gzip CR,DFCMGorilla CR,DFCMSprintz CR
argonne,345,31453.63656,1,1.648599158,0.11,0.65,0.86,0.064505773,,
argonne,721,5539.217914,0.004173623,1.004614094,0.72,0.72,0.79,0.392974528,,
argonne,513,1139.547014,1,1.002778232,0.28,0.75,0.82,0.23693791,,
argonne,183,13893.16016,0.001098298,1.003861004,0.73,0.73,0.8,0.391884502,,
argonne,974,81854.57722,1,1.230224964,0.17,0.68,0.79,0.093944325,,
argonne,148,1638.291844,0.006008171,1.003376749,0.73,0.73,0.8,0.385588348,,
argonne,980,576279.8621,1,1.189526185,0.18,0.68,0.78,0.101730861,,
argonne,23,Infinity,1,1.720455624,0.13,0.55,0.76,0.057033775,,
argonne,1014,71356.0419,1,1.410023493,0.14,0.63,0.78,0.076549616,,
argonne,717,54473.42988,0.00250941,1.008468802,0.73,0.74,0.8,0.338271438,,
argonne,525,1977.346282,1,1.003861004,0.27,0.7,0.78,0.241427198,,
argonne,141,767529.9079,0.007042254,1.004938272,0.8,0.74,0.8,0.371445334,,
argonne,373,11845.62558,1,1.412631222,0.2,0.76,0.9,0.083964638,,
argonne,4,7318.724011,1,2.253664036,0.08,0.45,0.77,0.046198144,,
argonne,989,43361.5096,1,1.339648799,0.16,0.65,0.79,0.084246389,,
argonne,387,37008.51469,1,1.869079535,0.06,0.57,0.85,0.054528885,,
argonne,942,3812.545144,1,1.889029004,0.06,0.61,0.88,0.052525041,,
argonne,728,208.60537,0.004725436,1.002614379,0.7,0.71,0.77,0.385564697,,
argonne,15,55792.58769,1,1.458548585,0.11,0.63,0.77,0.072005723,,
argonne,1022,9257.968207,1,1.288779402,0.17,0.67,0.79,0.093385875,,
argonne,380,44932.69046,1,2.613399728,0.1,0.45,0.86,0.042560347,,
argonne,3,2936.45747,1,1.473810339,0.14,0.63,0.79,0.057811644,,
argonne,374,49454.8302,1,1.851916813,0.1,0.6,0.9,0.067228038,,
argonne,146,5193.679114,0.007285398,1.004455761,0.72,0.69,0.74,0.396029689,,
