File Name,Compression Throughput (mb/s),Decompression Throughput (mb/s),Compression Ratio,Method
659,4.62,5.9,0.91,FCMGorilla
833,19.76,16.62,0.3,FCMGorilla
692,9.33,6.08,0.85,FCMGorilla
202,2.94,6.37,0.86,FCMGorilla
454,9.59,11.85,0.44,FCMGorilla
666,9.68,3.44,0.87,FCMGorilla
834,14.46,17.56,0.33,FCMGorilla
498,14.51,12.89,0.43,FCMGorilla
661,4.38,6.31,0.88,FCMGorilla
453,13.8,12.25,0.43,FCMGorilla
205,8.81,5.71,0.87,FCMGorilla
695,5.85,9.13,0.88,FCMGorilla
668,10.84,6.59,0.76,FCMGorilla
802,12.26,16.74,0.31,FCMGorilla
233,12.69,11.9,0.35,FCMGorilla
657,7.15,5.89,0.85,FCMGorilla
465,7.8,19.76,0.42,FCMGorilla
491,18.73,18.9,0.42,FCMGorilla
805,27.99,16.14,0.3,FCMGorilla
496,19.45,10.78,0.44,FCMGorilla
462,16.25,19.42,0.43,FCMGorilla
650,13.91,14.1,0.78,FCMGorilla
234,17.8,14.94,0.39,FCMGorilla
346,38.98,34.63,0.26,FCMGorilla
948,43.17,43.62,0.16,FCMGorilla
174,12.23,7.35,0.88,FCMGorilla
510,13.25,9.87,0.43,FCMGorilla
722,9.94,13.46,0.82,FCMGorilla
1028,21.0,28.29,0.36,FCMGorilla
180,11.38,7.34,0.8,FCMGorilla
977,5.24,15.01,0.32,FCMGorilla
379,35.52,30.61,0.31,FCMGorilla
983,24.73,30.24,0.33,FCMGorilla
1017,36.1,38.44,0.23,FCMGorilla
20,26.75,20.93,0.24,FCMGorilla
187,9.15,7.81,0.85,FCMGorilla
18,30.12,26.04,0.25,FCMGorilla
725,13.88,14.37,0.77,FCMGorilla
517,17.19,11.09,0.43,FCMGorilla
173,8.97,7.4,0.79,FCMGorilla
341,27.87,28.78,0.3,FCMGorilla
27,24.37,32.15,0.26,FCMGorilla
1010,36.26,34.82,0.27,FCMGorilla
9,24.72,29.44,0.2,FCMGorilla
984,32.66,33.16,0.29,FCMGorilla
970,34.07,33.49,0.26,FCMGorilla
528,12.75,12.27,0.43,FCMGorilla
1019,20.98,25.14,0.35,FCMGorilla
383,32.17,33.96,0.23,FCMGorilla
979,24.65,22.67,0.31,FCMGorilla
145,8.31,6.94,0.86,FCMGorilla
377,20.99,18.82,0.34,FCMGorilla
713,12.84,11.93,0.79,FCMGorilla
521,19.17,16.4,0.43,FCMGorilla
11,23.24,21.33,0.22,FCMGorilla
1026,18.98,14.84,0.36,FCMGorilla
348,21.33,15.58,0.28,FCMGorilla
946,44.57,44.68,0.17,FCMGorilla
526,20.7,19.9,0.43,FCMGorilla
714,12.18,11.2,0.87,FCMGorilla
370,26.58,32.48,0.24,FCMGorilla
142,9.44,7.18,0.78,FCMGorilla
384,23.87,25.67,0.27,FCMGorilla
7,35.93,34.73,0.22,FCMGorilla
29,36.74,28.51,0.25,FCMGorilla
941,9.43,36.97,0.16,FCMGorilla
519,16.04,10.58,0.44,FCMGorilla
1021,22.86,18.33,0.28,FCMGorilla
16,38.23,32.77,0.24,FCMGorilla
189,11.89,11.16,0.88,FCMGorilla
129,11.0,5.51,0.93,FCMGorilla
915,28.67,45.87,0.15,FCMGorilla
42,28.58,28.55,0.26,FCMGorilla
740,13.97,13.89,0.77,FCMGorilla
89,29.71,32.77,0.25,FCMGorilla
572,39.98,39.84,0.17,FCMGorilla
116,8.36,6.78,0.88,FCMGorilla
324,27.79,19.27,0.32,FCMGorilla
586,49.46,49.55,0.16,FCMGorilla
45,34.31,34.52,0.27,FCMGorilla
778,14.79,14.32,0.33,FCMGorilla
912,19.37,24.09,0.18,FCMGorilla
581,36.1,50.11,0.15,FCMGorilla
323,26.84,41.36,0.21,FCMGorilla
111,13.23,7.49,0.79,FCMGorilla
575,24.84,19.4,0.19,FCMGorilla
747,25.31,29.55,0.3,FCMGorilla
1044,29.91,17.7,0.38,FCMGorilla
588,17.46,20.15,0.07,FCMGorilla
73,20.59,18.54,0.3,FCMGorilla
118,10.01,11.06,0.89,FCMGorilla
924,24.15,21.01,0.18,FCMGorilla
87,28.53,16.05,0.32,FCMGorilla
785,27.34,24.98,0.33,FCMGorilla
543,38.29,42.62,0.18,FCMGorilla
771,21.72,14.07,0.3,FCMGorilla
315,16.36,14.13,0.33,FCMGorilla
127,12.11,13.5,0.78,FCMGorilla
80,45.42,48.86,0.16,FCMGorilla
749,20.34,16.05,0.3,FCMGorilla
923,24.79,17.5,0.19,FCMGorilla
74,32.28,21.64,0.33,FCMGorilla
1043,31.15,23.49,0.34,FCMGorilla
120,13.55,13.91,0.78,FCMGorilla
312,18.04,13.5,0.37,FCMGorilla
776,17.37,14.28,0.33,FCMGorilla
544,43.6,48.99,0.16,FCMGorilla
782,25.9,20.18,0.3,FCMGorilla
6,33.16,32.54,0.29,FCMGorilla
385,24.29,29.79,0.26,FCMGorilla
28,28.41,19.37,0.26,FCMGorilla
715,9.05,12.55,0.77,FCMGorilla
527,21.73,15.02,0.42,FCMGorilla
143,9.19,7.58,0.93,FCMGorilla
371,24.58,20.62,0.35,FCMGorilla
17,28.98,29.02,0.24,FCMGorilla
1020,31.17,25.3,0.35,FCMGorilla
188,11.14,7.79,0.84,FCMGorilla
940,26.98,22.67,0.18,FCMGorilla
518,12.12,20.32,0.43,FCMGorilla
376,39.8,38.83,0.22,FCMGorilla
144,10.72,11.26,0.85,FCMGorilla
978,35.32,32.03,0.31,FCMGorilla
520,13.18,10.97,0.43,FCMGorilla
712,8.53,7.56,0.8,FCMGorilla
1018,31.5,27.75,0.37,FCMGorilla
382,32.76,34.12,0.27,FCMGorilla
1,39.32,34.91,0.27,FCMGorilla
947,23.59,27.14,0.14,FCMGorilla
349,26.11,17.1,0.29,FCMGorilla
1027,17.0,14.22,0.35,FCMGorilla
10,30.18,33.91,0.28,FCMGorilla
516,19.26,17.45,0.43,FCMGorilla
724,11.2,9.27,0.88,FCMGorilla
340,25.78,20.06,0.25,FCMGorilla
172,8.69,9.36,0.81,FCMGorilla
186,13.64,11.63,0.8,FCMGorilla
19,29.28,27.15,0.35,FCMGorilla
971,20.93,18.41,0.3,FCMGorilla
529,16.75,15.03,0.44,FCMGorilla
1011,30.24,27.44,0.37,FCMGorilla
26,23.06,27.82,0.27,FCMGorilla
8,41.81,42.05,0.21,FCMGorilla
985,25.11,14.83,0.37,FCMGorilla
1029,23.14,17.29,0.35,FCMGorilla
181,8.73,9.55,0.88,FCMGorilla
175,10.74,12.08,0.88,FCMGorilla
949,10.08,26.71,0.14,FCMGorilla
347,22.76,17.74,0.28,FCMGorilla
723,10.21,13.04,0.81,FCMGorilla
511,17.7,16.22,0.43,FCMGorilla
982,20.26,16.16,0.34,FCMGorilla
21,22.32,18.52,0.32,FCMGorilla
1016,29.85,33.53,0.29,FCMGorilla
378,39.27,33.93,0.24,FCMGorilla
976,32.99,31.05,0.33,FCMGorilla
1042,24.92,15.04,0.37,FCMGorilla
75,22.83,18.55,0.28,FCMGorilla
748,21.77,22.07,0.33,FCMGorilla
81,46.53,50.4,0.14,FCMGorilla
922,40.6,47.22,0.16,FCMGorilla
783,29.62,22.65,0.31,FCMGorilla
313,18.6,12.19,0.4,FCMGorilla
121,11.89,10.8,0.86,FCMGorilla
545,25.55,32.45,0.17,FCMGorilla
777,25.8,13.41,0.31,FCMGorilla
925,28.35,23.57,0.2,FCMGorilla
119,8.38,12.41,0.89,FCMGorilla
86,35.67,35.49,0.23,FCMGorilla
72,25.47,36.1,0.25,FCMGorilla
589,27.7,23.73,0.18,FCMGorilla
1045,22.17,17.97,0.31,FCMGorilla
770,18.6,23.46,0.32,FCMGorilla
542,29.0,13.34,0.15,FCMGorilla
126,8.42,9.02,0.82,FCMGorilla
314,17.45,12.87,0.36,FCMGorilla
784,24.94,15.48,0.31,FCMGorilla
779,23.48,22.02,0.33,FCMGorilla
913,42.99,47.82,0.16,FCMGorilla
44,31.94,29.6,0.28,FCMGorilla
110,9.33,6.47,0.87,FCMGorilla
322,33.28,20.18,0.31,FCMGorilla
746,27.39,26.54,0.33,FCMGorilla
574,39.21,28.44,0.15,FCMGorilla
580,23.53,32.81,0.12,FCMGorilla
43,25.98,23.33,0.21,FCMGorilla
914,22.81,27.22,0.19,FCMGorilla
128,13.13,13.2,0.82,FCMGorilla
587,50.88,54.03,0.14,FCMGorilla
573,43.99,45.48,0.17,FCMGorilla
88,25.74,15.91,0.34,FCMGorilla
741,12.17,7.54,0.82,FCMGorilla
325,34.43,27.86,0.35,FCMGorilla
117,13.21,10.92,0.78,FCMGorilla
508,21.3,14.94,0.44,FCMGorilla
950,27.97,19.74,0.18,FCMGorilla
198,8.49,10.32,0.86,FCMGorilla
1030,35.51,33.95,0.27,FCMGorilla
361,34.49,29.45,0.34,FCMGorilla
153,8.47,7.31,0.8,FCMGorilla
537,12.94,35.32,0.15,FCMGorilla
705,13.5,12.07,0.79,FCMGorilla
38,41.82,36.43,0.25,FCMGorilla
395,34.42,18.09,0.28,FCMGorilla
1037,27.68,19.93,0.25,FCMGorilla
359,28.83,16.31,0.31,FCMGorilla
957,25.02,26.91,0.35,FCMGorilla
392,35.48,30.45,0.32,FCMGorilla
1008,29.46,31.72,0.31,FCMGorilla
702,8.73,6.88,0.87,FCMGorilla
530,34.14,33.82,0.17,FCMGorilla
154,11.9,12.15,0.82,FCMGorilla
968,35.16,35.34,0.27,FCMGorilla
366,33.87,29.66,0.31,FCMGorilla
995,21.33,14.8,0.29,FCMGorilla
36,29.34,19.35,0.25,FCMGorilla
1001,28.56,35.56,0.23,FCMGorilla
539,37.42,39.66,0.17,FCMGorilla
961,29.97,25.83,0.34,FCMGorilla
196,11.8,7.34,0.8,FCMGorilla
162,8.3,9.21,0.83,FCMGorilla
