File Name,Compression Throughput (mb/s),Decompression Throughput (mb/s),Compression Ratio,Method
293,131.49,190.23,0.58,SprintzRef
856,66.58,61.88,0.57,SprintzRef
258,130.27,188.88,0.54,SprintzRef
407,60.69,95.28,0.81,SprintzRef
635,86.9,138.67,0.51,SprintzRef
251,111.4,142.43,0.54,SprintzRef
860,109.89,156.73,0.56,SprintzRef
438,80.92,88.66,0.76,SprintzRef
894,98.42,174.43,0.52,SprintzRef
858,116.0,151.92,0.66,SprintzRef
256,142.71,198.44,0.55,SprintzRef
632,103.3,180.75,0.54,SprintzRef
400,89.4,93.07,0.7,SprintzRef
893,100.7,144.76,0.65,SprintzRef
269,97.11,144.32,0.53,SprintzRef
867,84.54,120.45,0.55,SprintzRef
659,87.6,134.13,0.82,SprintzRef
833,145.61,187.13,0.52,SprintzRef
692,88.15,132.59,0.77,SprintzRef
202,94.47,124.85,0.78,SprintzRef
454,95.16,70.2,0.76,SprintzRef
666,49.36,68.36,0.79,SprintzRef
834,67.14,93.42,0.58,SprintzRef
498,71.91,133.79,0.74,SprintzRef
661,75.7,91.39,0.79,SprintzRef
453,65.37,84.89,0.75,SprintzRef
205,70.92,139.93,0.78,SprintzRef
695,99.72,137.95,0.78,SprintzRef
668,107.59,124.52,0.69,SprintzRef
802,124.87,189.92,0.54,SprintzRef
233,119.05,168.71,0.6,SprintzRef
657,68.04,44.47,0.76,SprintzRef
465,62.34,68.4,0.73,SprintzRef
491,60.72,73.41,0.72,SprintzRef
805,146.24,185.74,0.53,SprintzRef
496,67.7,34.07,0.77,SprintzRef
462,96.97,42.01,0.76,SprintzRef
650,118.46,155.6,0.7,SprintzRef
234,79.84,115.66,0.55,SprintzRef
346,85.0,94.61,0.66,SprintzRef
948,63.53,85.73,0.57,SprintzRef
174,79.32,115.99,0.8,SprintzRef
510,60.7,70.6,0.75,SprintzRef
722,65.54,98.4,0.73,SprintzRef
1028,123.5,162.8,0.64,SprintzRef
180,118.18,150.62,0.73,SprintzRef
977,56.71,85.83,0.56,SprintzRef
379,97.47,152.92,0.67,SprintzRef
983,93.39,150.85,0.64,SprintzRef
1017,121.27,164.47,0.55,SprintzRef
20,119.19,129.43,0.61,SprintzRef
187,62.54,73.02,0.76,SprintzRef
18,76.18,87.77,0.48,SprintzRef
725,56.97,84.26,0.69,SprintzRef
517,112.46,143.27,0.75,SprintzRef
173,116.11,148.72,0.72,SprintzRef
341,92.68,145.68,0.7,SprintzRef
27,73.6,125.5,0.62,SprintzRef
1010,32.36,42.01,0.63,SprintzRef
9,44.46,61.01,0.52,SprintzRef
984,67.05,74.83,0.67,SprintzRef
970,79.09,148.88,0.59,SprintzRef
528,93.68,130.6,0.76,SprintzRef
1019,106.22,107.43,0.67,SprintzRef
383,83.07,98.54,0.63,SprintzRef
979,84.42,141.81,0.65,SprintzRef
145,89.35,126.23,0.76,SprintzRef
377,112.01,146.29,0.7,SprintzRef
713,109.8,151.19,0.71,SprintzRef
521,106.85,130.17,0.74,SprintzRef
11,71.01,90.56,0.53,SprintzRef
1026,62.25,77.48,0.65,SprintzRef
348,95.78,150.84,0.68,SprintzRef
946,80.43,78.63,0.61,SprintzRef
526,34.9,53.53,0.74,SprintzRef
714,93.58,140.36,0.79,SprintzRef
370,87.82,118.46,0.63,SprintzRef
142,88.03,112.28,0.71,SprintzRef
384,91.29,154.23,0.68,SprintzRef
7,119.44,153.58,0.59,SprintzRef
29,90.01,126.37,0.6,SprintzRef
941,91.06,125.71,0.56,SprintzRef
519,31.79,45.64,0.77,SprintzRef
1021,57.8,49.62,0.51,SprintzRef
16,68.19,78.23,0.64,SprintzRef
189,75.38,103.42,0.81,SprintzRef
129,79.59,120.7,0.85,SprintzRef
915,107.69,154.66,0.52,SprintzRef
42,27.62,86.48,0.6,SprintzRef
740,109.12,141.64,0.7,SprintzRef
89,115.22,151.03,0.61,SprintzRef
572,83.83,110.29,0.64,SprintzRef
116,73.09,89.72,0.81,SprintzRef
324,55.03,69.24,0.78,SprintzRef
586,66.56,91.85,0.56,SprintzRef
45,94.4,119.23,0.63,SprintzRef
778,109.59,192.25,0.58,SprintzRef
912,78.87,142.03,0.62,SprintzRef
581,119.56,167.86,0.52,SprintzRef
323,114.81,164.85,0.5,SprintzRef
111,119.96,153.19,0.71,SprintzRef
575,119.79,158.02,0.66,SprintzRef
747,112.89,101.49,0.52,SprintzRef
1044,64.75,63.94,0.67,SprintzRef
588,96.94,162.69,0.2,SprintzRef
73,127.92,170.8,0.61,SprintzRef
118,67.79,121.44,0.82,SprintzRef
924,108.09,160.99,0.63,SprintzRef
87,117.41,156.02,0.69,SprintzRef
785,146.92,191.3,0.59,SprintzRef
543,88.66,106.31,0.62,SprintzRef
771,72.13,102.77,0.53,SprintzRef
315,77.02,99.96,0.54,SprintzRef
127,83.31,115.95,0.7,SprintzRef
80,86.12,127.37,0.37,SprintzRef
749,130.94,206.55,0.52,SprintzRef
923,100.72,146.68,0.64,SprintzRef
74,113.21,149.18,0.64,SprintzRef
1043,92.97,155.27,0.6,SprintzRef
120,86.49,64.63,0.7,SprintzRef
312,79.28,99.85,0.54,SprintzRef
776,84.23,142.09,0.57,SprintzRef
544,68.87,85.55,0.54,SprintzRef
782,128.12,206.68,0.53,SprintzRef
6,105.62,173.91,0.54,SprintzRef
385,116.86,157.38,0.64,SprintzRef
28,112.2,131.21,0.58,SprintzRef
715,119.15,153.66,0.7,SprintzRef
527,106.88,149.05,0.73,SprintzRef
143,90.96,112.75,0.83,SprintzRef
371,92.58,68.29,0.7,SprintzRef
17,68.25,87.99,0.59,SprintzRef
1020,102.34,142.72,0.66,SprintzRef
188,64.71,94.06,0.75,SprintzRef
940,46.46,43.95,0.67,SprintzRef
518,98.11,135.53,0.75,SprintzRef
376,72.6,154.07,0.59,SprintzRef
144,107.77,140.21,0.76,SprintzRef
978,63.41,87.92,0.57,SprintzRef
520,75.35,108.74,0.73,SprintzRef
712,64.45,113.85,0.71,SprintzRef
1018,86.31,155.71,0.66,SprintzRef
382,60.25,78.36,0.63,SprintzRef
1,58.7,148.92,0.62,SprintzRef
947,72.86,97.28,0.45,SprintzRef
349,69.78,147.36,0.69,SprintzRef
1027,122.71,161.08,0.62,SprintzRef
10,116.18,172.18,0.6,SprintzRef
516,66.1,69.54,0.74,SprintzRef
724,73.87,103.48,0.79,SprintzRef
340,119.26,155.27,0.67,SprintzRef
172,108.9,150.9,0.73,SprintzRef
186,116.0,109.36,0.73,SprintzRef
19,110.81,156.21,0.67,SprintzRef
971,63.57,93.92,0.53,SprintzRef
529,112.28,144.18,0.76,SprintzRef
1011,57.33,83.28,0.65,SprintzRef
26,89.82,121.75,0.65,SprintzRef
8,98.8,138.73,0.49,SprintzRef
985,122.56,160.87,0.66,SprintzRef
1029,93.96,158.46,0.66,SprintzRef
181,60.35,66.56,0.8,SprintzRef
175,100.71,136.84,0.81,SprintzRef
949,72.59,89.95,0.46,SprintzRef
347,103.75,140.89,0.67,SprintzRef
723,67.95,88.41,0.73,SprintzRef
511,93.89,131.11,0.75,SprintzRef
982,119.99,81.07,0.65,SprintzRef
21,81.85,121.3,0.64,SprintzRef
1016,59.43,94.8,0.65,SprintzRef
378,66.38,98.03,0.58,SprintzRef
976,98.79,161.69,0.57,SprintzRef
1042,122.34,160.75,0.65,SprintzRef
75,119.0,159.32,0.66,SprintzRef
748,71.43,126.39,0.58,SprintzRef
81,98.82,191.06,0.49,SprintzRef
922,119.48,165.0,0.55,SprintzRef
783,105.75,170.4,0.53,SprintzRef
313,136.58,190.93,0.58,SprintzRef
121,62.33,90.45,0.78,SprintzRef
545,90.52,120.13,0.63,SprintzRef
777,131.77,180.82,0.54,SprintzRef
925,58.4,75.66,0.68,SprintzRef
119,74.1,97.08,0.81,SprintzRef
86,64.74,89.75,0.57,SprintzRef
72,111.53,145.48,0.63,SprintzRef
589,103.1,109.14,0.61,SprintzRef
1045,60.55,79.25,0.61,SprintzRef
770,98.08,193.9,0.57,SprintzRef
542,61.18,85.95,0.56,SprintzRef
126,35.09,45.38,0.74,SprintzRef
314,62.47,106.08,0.54,SprintzRef
784,82.58,90.29,0.54,SprintzRef
779,77.84,136.78,0.59,SprintzRef
913,98.65,162.51,0.54,SprintzRef
44,97.94,148.39,0.67,SprintzRef
110,87.38,123.11,0.81,SprintzRef
322,80.23,130.38,0.75,SprintzRef
746,122.68,129.57,0.59,SprintzRef
574,66.93,90.61,0.54,SprintzRef
580,74.1,111.87,0.4,SprintzRef
43,118.34,173.68,0.54,SprintzRef
914,100.62,150.91,0.67,SprintzRef
128,78.93,145.69,0.73,SprintzRef
587,111.05,191.47,0.49,SprintzRef
573,89.31,153.65,0.61,SprintzRef
88,101.18,151.87,0.62,SprintzRef
741,88.29,63.59,0.73,SprintzRef
325,104.84,151.83,0.68,SprintzRef
117,68.71,90.19,0.71,SprintzRef
508,62.13,71.68,0.76,SprintzRef
950,64.92,73.8,0.65,SprintzRef
198,101.0,129.76,0.78,SprintzRef
1030,66.1,122.79,0.64,SprintzRef
361,86.09,113.37,0.68,SprintzRef
153,115.58,149.76,0.73,SprintzRef
537,135.8,127.29,0.53,SprintzRef
705,118.0,152.88,0.71,SprintzRef
38,107.42,161.3,0.64,SprintzRef
395,112.35,155.24,0.66,SprintzRef
1037,70.56,90.85,0.56,SprintzRef
359,59.52,74.84,0.73,SprintzRef
957,71.02,85.16,0.6,SprintzRef
392,64.2,79.07,0.65,SprintzRef
1008,117.05,157.0,0.56,SprintzRef
702,85.25,139.16,0.79,SprintzRef
530,91.05,106.2,0.58,SprintzRef
154,104.63,112.82,0.73,SprintzRef
968,133.25,178.92,0.51,SprintzRef
366,76.94,128.76,0.73,SprintzRef
995,82.47,83.69,0.66,SprintzRef
36,66.19,93.12,0.6,SprintzRef
1001,126.92,139.52,0.38,SprintzRef
539,64.29,85.63,0.61,SprintzRef
961,101.22,145.99,0.65,SprintzRef
196,98.49,140.43,0.72,SprintzRef
162,95.59,134.49,0.76,SprintzRef
350,99.86,138.38,0.79,SprintzRef
734,103.12,116.76,0.78,SprintzRef
506,56.6,72.61,0.78,SprintzRef
966,81.65,120.63,0.64,SprintzRef
368,98.52,140.84,0.67,SprintzRef
1006,112.36,159.13,0.68,SprintzRef
31,110.47,162.75,0.58,SprintzRef
992,111.55,165.28,0.56,SprintzRef
501,106.38,133.68,0.74,SprintzRef
733,73.93,147.79,0.75,SprintzRef
357,120.45,163.48,0.56,SprintzRef
165,77.31,124.54,0.81,SprintzRef
959,72.81,108.73,0.4,SprintzRef
191,65.12,71.96,0.72,SprintzRef
1039,74.14,135.32,0.68,SprintzRef
767,85.3,110.92,0.54,SprintzRef
555,52.22,102.76,0.55,SprintzRef
131,105.82,149.34,0.73,SprintzRef
303,60.12,112.55,0.59,SprintzRef
793,83.1,140.06,0.53,SprintzRef
932,94.61,177.03,0.5,SprintzRef
91,97.85,133.95,0.53,SprintzRef
758,116.19,125.01,0.58,SprintzRef
65,59.24,145.27,0.65,SprintzRef
1052,61.51,83.82,0.66,SprintzRef
794,64.86,64.99,0.54,SprintzRef
304,113.73,163.77,0.63,SprintzRef
136,56.99,110.71,0.8,SprintzRef
552,134.43,182.19,0.54,SprintzRef
760,147.52,202.83,0.55,SprintzRef
1055,81.88,139.66,0.65,SprintzRef
62,43.23,71.03,0.71,SprintzRef
599,76.26,93.05,0.45,SprintzRef
96,113.77,147.5,0.65,SprintzRef
935,43.04,83.83,0.57,SprintzRef
109,100.53,129.65,0.75,SprintzRef
590,101.51,139.36,0.51,SprintzRef
564,138.17,189.88,0.47,SprintzRef
756,127.77,171.84,0.58,SprintzRef
332,111.97,153.48,0.49,SprintzRef
100,109.7,153.3,0.55,SprintzRef
