File Name,Compression Throughput (mb/s),Decompression Throughput (mb/s),Compression Ratio,Method
748,157.32,56.79,0.21,GorillaRef
81,268.9,54.05,0.05,GorillaRef
922,253.77,55.6,0.05,GorillaRef
783,152.24,59.4,0.21,GorillaRef
313,128.58,81.28,0.25,GorillaRef
121,54.04,37.68,0.84,GorillaRef
545,347.86,101.32,0.08,GorillaRef
777,175.96,39.35,0.21,GorillaRef
925,219.32,51.13,0.07,GorillaRef
119,50.43,36.48,0.87,GorillaRef
86,203.47,72.57,0.13,GorillaRef
72,122.85,44.4,0.07,GorillaRef
589,262.36,68.36,0.07,GorillaRef
1045,187.23,45.62,0.14,GorillaRef
770,166.18,40.93,0.21,GorillaRef
542,205.13,41.49,0.06,GorillaRef
126,64.85,43.64,0.73,GorillaRef
314,164.39,56.26,0.21,GorillaRef
784,85.87,164.32,0.19,GorillaRef
779,140.52,33.42,0.23,GorillaRef
913,436.24,100.47,0.06,GorillaRef
44,327.7,56.89,0.1,GorillaRef
110,56.18,31.12,0.86,GorillaRef
322,145.11,41.03,0.19,GorillaRef
746,178.11,75.19,0.22,GorillaRef
574,261.06,21.08,0.06,GorillaRef
580,370.64,34.65,0.04,GorillaRef
43,222.23,90.8,0.11,GorillaRef
914,222.74,70.29,0.06,GorillaRef
128,73.17,39.15,0.73,GorillaRef
587,328.98,37.68,0.05,GorillaRef
573,279.88,51.36,0.06,GorillaRef
88,321.55,41.93,0.09,GorillaRef
741,60.27,48.11,0.73,GorillaRef
325,159.55,43.05,0.15,GorillaRef
117,11.99,41.99,0.76,GorillaRef
508,121.58,51.83,0.27,GorillaRef
950,404.27,67.64,0.06,GorillaRef
198,54.74,37.68,0.84,GorillaRef
1030,228.01,66.85,0.16,GorillaRef
361,137.25,51.97,0.15,GorillaRef
153,88.29,33.72,0.78,GorillaRef
537,400.6,52.63,0.06,GorillaRef
705,94.57,69.43,0.7,GorillaRef
38,232.41,163.1,0.1,GorillaRef
395,116.22,91.11,0.16,GorillaRef
1037,264.41,174.77,0.13,GorillaRef
359,149.53,113.33,0.13,GorillaRef
957,302.54,253.06,0.15,GorillaRef
392,315.57,220.14,0.11,GorillaRef
1008,310.25,255.08,0.15,GorillaRef
702,68.28,67.97,0.78,GorillaRef
530,264.21,177.64,0.07,GorillaRef
154,68.7,85.0,0.73,GorillaRef
968,18.27,57.04,0.11,GorillaRef
366,186.51,144.91,0.13,GorillaRef
995,289.04,243.06,0.16,GorillaRef
36,116.53,90.64,0.09,GorillaRef
1001,203.68,141.14,0.09,GorillaRef
539,263.79,175.57,0.07,GorillaRef
961,232.7,198.89,0.16,GorillaRef
196,54.4,78.03,0.78,GorillaRef
162,73.08,115.84,0.82,GorillaRef
350,149.77,97.22,0.13,GorillaRef
734,81.06,133.42,0.85,GorillaRef
506,184.85,187.41,0.28,GorillaRef
966,198.51,159.48,0.16,GorillaRef
368,190.59,145.2,0.13,GorillaRef
1006,92.53,149.4,0.21,GorillaRef
31,152.54,125.65,0.09,GorillaRef
992,130.66,132.58,0.13,GorillaRef
501,123.85,43.65,0.28,GorillaRef
733,9.96,31.66,0.74,GorillaRef
357,325.85,78.26,0.08,GorillaRef
165,62.36,40.94,0.87,GorillaRef
959,286.3,54.06,0.1,GorillaRef
191,100.92,98.69,0.78,GorillaRef
1039,175.85,134.42,0.17,GorillaRef
767,131.03,142.4,0.2,GorillaRef
555,289.47,175.15,0.06,GorillaRef
131,54.63,46.98,0.79,GorillaRef
303,167.14,251.07,0.29,GorillaRef
793,198.94,174.18,0.21,GorillaRef
932,498.0,288.24,0.06,GorillaRef
91,413.57,260.11,0.06,GorillaRef
758,257.34,312.11,0.21,GorillaRef
65,221.99,152.99,0.1,GorillaRef
1052,180.87,138.44,0.17,GorillaRef
794,180.27,149.65,0.23,GorillaRef
304,133.61,36.26,0.31,GorillaRef
136,56.9,76.05,0.86,GorillaRef
552,442.3,299.08,0.06,GorillaRef
760,202.06,252.42,0.21,GorillaRef
1055,244.12,173.99,0.16,GorillaRef
62,203.89,186.44,0.12,GorillaRef
599,223.12,170.69,0.05,GorillaRef
96,172.97,168.59,0.13,GorillaRef
935,279.74,176.9,0.05,GorillaRef
109,57.48,80.52,0.75,GorillaRef
590,395.36,304.56,0.06,GorillaRef
564,380.65,291.25,0.05,GorillaRef
756,222.63,169.87,0.21,GorillaRef
332,256.71,151.74,0.05,GorillaRef
100,276.2,211.2,0.08,GorillaRef
54,228.2,259.65,0.1,GorillaRef
903,272.75,158.08,0.05,GorillaRef
769,348.09,361.63,0.2,GorillaRef
107,74.02,146.39,0.87,GorillaRef
335,239.68,166.64,0.09,GorillaRef
751,177.64,169.09,0.21,GorillaRef
563,299.76,189.3,0.06,GorillaRef
98,125.24,168.04,0.14,GorillaRef
597,319.9,264.06,0.07,GorillaRef
904,13.96,92.9,0.07,GorillaRef
138,65.42,87.12,0.78,GorillaRef
53,198.45,155.61,0.12,GorillaRef
30,283.1,228.79,0.15,GorillaRef
1007,227.74,190.78,0.16,GorillaRef
993,190.08,185.93,0.14,GorillaRef
369,105.65,116.9,0.11,GorillaRef
967,286.02,252.8,0.16,GorillaRef
190,101.8,117.8,0.77,GorillaRef
1038,127.07,152.43,0.19,GorillaRef
732,68.14,82.27,0.7,GorillaRef
500,98.47,161.93,0.28,GorillaRef
958,170.38,164.61,0.16,GorillaRef
164,53.77,100.99,0.76,GorillaRef
356,121.13,25.99,0.22,GorillaRef
538,307.87,97.05,0.06,GorillaRef
960,182.38,148.08,0.17,GorillaRef
994,183.88,144.51,0.16,GorillaRef
1000,158.01,150.71,0.14,GorillaRef
37,166.02,169.39,0.16,GorillaRef
351,366.68,249.6,0.07,GorillaRef
163,93.62,102.98,0.75,GorillaRef
507,104.73,117.83,0.28,GorillaRef
735,104.19,162.71,0.71,GorillaRef
197,86.26,160.87,0.77,GorillaRef
956,267.78,275.52,0.16,GorillaRef
358,185.09,155.4,0.11,GorillaRef
1036,177.85,106.74,0.18,GorillaRef
531,218.68,182.07,0.08,GorillaRef
703,57.33,64.5,0.85,GorillaRef
367,170.85,141.78,0.18,GorillaRef
969,82.85,154.92,0.15,GorillaRef
155,55.22,73.47,0.84,GorillaRef
393,150.56,106.57,0.18,GorillaRef
1009,169.54,168.32,0.16,GorillaRef
199,81.57,133.58,0.76,GorillaRef
1031,172.34,154.66,0.12,GorillaRef
509,153.66,185.89,0.28,GorillaRef
951,212.66,132.68,0.04,GorillaRef
39,212.43,141.43,0.05,GorillaRef
394,163.71,124.38,0.1,GorillaRef
152,24.55,67.16,0.95,GorillaRef
360,126.34,164.17,0.09,GorillaRef
704,65.87,87.63,0.7,GorillaRef
536,278.11,190.68,0.07,GorillaRef
